cluster_label,feature,global_mean,cluster_mean,absolute_difference
5,rain (mm),5.625351711377705e-17,1.9155706204225902,1.9155706204225902
5,wind_speed_10m (km/h),3.618469479210524e-16,0.5166451600011854,0.5166451600011851
5,relative_humidity_2m (%),8.818118898916403e-17,0.47781924226241007,0.47781924226240996
5,pollution_stagnation_index,2.6758429762229086e-16,-0.41574125676176654,0.4157412567617668
5,temperature_2m (°C),4.865169047678016e-17,-0.2909338367897112,0.29093383678971124
5,month_cos,1.3379214881114543e-16,0.28095050780984615,0.28095050780984604
5,hour_cos,-4.5610959821981395e-18,-0.27764705982228655,0.27764705982228655
5,wind_x_vector,-2.432584523839008e-17,0.24041253566766815,0.24041253566766818
5,month_sin,-9.730338095356031e-17,0.15362419975487945,0.15362419975487956
5,total_generation_mw,9.730338095356031e-17,0.1176302908968009,0.1176302908968008
5,hour_sin,-1.900456659249225e-17,-0.1127078099226799,0.11270780992267988
5,wind_y_vector,-3.04073065479876e-17,-0.01176917409385239,0.011769174093852358
